Instruments,Intervals,Participant_ID,rating_stimulus,rating_score
piano,C3F#3,13,32k,21
pipeorgan,C4C#4,4,32k,29
piano,C3F#3,1,32k,23
piano,C3G3,4,32k,13
piano,C3G3,6,32k,12
piano,C4A#4,12,32k,2
cello,C4A#4,5,32k,8
piano,C3A#3,5,32k,45
piano,C3C#3,16,32k,3
piano,C4F#4,13,32k,44
pipeorgan,C3C#3,5,32k,44
pipeorgan,C4A#4,11,32k,54
pipeorgan,C4G4,5,32k,54
piano,C4G4,12,32k,53
cello,C3A#3,1,96k,79
cello,C3A#3,11,96k,85
cello,C3A#3,12,96k,87
cello,C3A#3,13,96k,69
cello,C3A#3,14,96k,57
cello,C3A#3,15,96k,24
cello,C3A#3,16,96k,73
cello,C3A#3,17,96k,79
cello,C3A#3,2,96k,70
cello,C3A#3,4,96k,84
cello,C3A#3,5,96k,80
cello,C3A#3,6,96k,100
cello,C3A#3,7,96k,74
cello,C3A#3,8,96k,100
cello,C3A#3,1,wav_ak_EQ,100
cello,C3A#3,11,wav_ak_EQ,64
cello,C3A#3,12,wav_ak_EQ,52
cello,C3A#3,13,wav_ak_EQ,41
cello,C3A#3,14,wav_ak_EQ,77
cello,C3A#3,15,wav_ak_EQ,55
cello,C3A#3,16,wav_ak_EQ,66
cello,C3A#3,17,wav_ak_EQ,20
cello,C3A#3,2,wav_ak_EQ,51
cello,C3A#3,4,wav_ak_EQ,85
cello,C3A#3,5,wav_ak_EQ,45
cello,C3A#3,6,wav_ak_EQ,51
cello,C3A#3,7,wav_ak_EQ,62
cello,C3A#3,8,wav_ak_EQ,78
cello,C3A#3,1,96k_ak_EQ,60
cello,C3A#3,11,96k_ak_EQ,86
cello,C3A#3,12,96k_ak_EQ,53
cello,C3A#3,13,96k_ak_EQ,34
cello,C3A#3,14,96k_ak_EQ,38
cello,C3A#3,15,96k_ak_EQ,34
cello,C3A#3,16,96k_ak_EQ,35
cello,C3A#3,17,96k_ak_EQ,30
cello,C3A#3,2,96k_ak_EQ,41
cello,C3A#3,4,96k_ak_EQ,70
cello,C3A#3,5,96k_ak_EQ,68
cello,C3A#3,6,96k_ak_EQ,26
cello,C3A#3,7,96k_ak_EQ,63
cello,C3A#3,8,96k_ak_EQ,79
cello,C3A#3,1,wav_muk_EQ,41
cello,C3A#3,11,wav_muk_EQ,88
cello,C3A#3,12,wav_muk_EQ,52
cello,C3A#3,13,wav_muk_EQ,70
cello,C3A#3,14,wav_muk_EQ,56
cello,C3A#3,15,wav_muk_EQ,86
cello,C3A#3,16,wav_muk_EQ,79
cello,C3A#3,17,wav_muk_EQ,61
cello,C3A#3,2,wav_muk_EQ,82
cello,C3A#3,4,wav_muk_EQ,89
cello,C3A#3,5,wav_muk_EQ,49
cello,C3A#3,6,wav_muk_EQ,70
cello,C3A#3,7,wav_muk_EQ,66
cello,C3A#3,8,wav_muk_EQ,19
cello,C3A#3,1,96k_muk_EQ,41
cello,C3A#3,11,96k_muk_EQ,30
cello,C3A#3,12,96k_muk_EQ,65
cello,C3A#3,13,96k_muk_EQ,59
cello,C3A#3,14,96k_muk_EQ,66
cello,C3A#3,15,96k_muk_EQ,70
cello,C3A#3,16,96k_muk_EQ,100
cello,C3A#3,17,96k_muk_EQ,55
cello,C3A#3,2,96k_muk_EQ,28
cello,C3A#3,4,96k_muk_EQ,89
cello,C3A#3,5,96k_muk_EQ,100
cello,C3A#3,6,96k_muk_EQ,54
cello,C3A#3,7,96k_muk_EQ,90
cello,C3A#3,8,96k_muk_EQ,15
cello,C3A#3,1,wav,100
cello,C3A#3,11,wav,82
cello,C3A#3,12,wav,67
cello,C3A#3,13,wav,80
cello,C3A#3,14,wav,80
cello,C3A#3,15,wav,71
cello,C3A#3,16,wav,100
cello,C3A#3,17,wav,91
cello,C3A#3,2,wav,66
cello,C3A#3,4,wav,88
cello,C3A#3,5,wav,47
cello,C3A#3,6,wav,100
cello,C3A#3,7,wav,74
cello,C3A#3,8,wav,100
pipeorgan,C3G3,4,32k,33
cello,C4F#4,5,32k,52
piano,C3F#3,15,32k,51
piano,C4A#4,14,32k,51
piano,C3A#3,2,32k,50
piano,C4F#4,6,32k,50
piano,C4G4,1,32k,50
pipeorgan,C4F#4,14,32k,50
cello,C3A#3,5,32k,49
piano,C4A#4,15,32k,49
pipeorgan,C3A#3,4,32k,49
pipeorgan,C3A#3,5,32k,49
pipeorgan,C3C#3,17,32k,49
cello,C3F#3,5,32k,48
cello,C3C#3,1,96k,66
cello,C3C#3,11,96k,95
cello,C3C#3,12,96k,70
cello,C3C#3,13,96k,81
cello,C3C#3,14,96k,39
cello,C3C#3,15,96k,31
cello,C3C#3,16,96k,22
cello,C3C#3,17,96k,69
cello,C3C#3,2,96k,64
cello,C3C#3,4,96k,90
cello,C3C#3,5,96k,59
cello,C3C#3,6,96k,100
cello,C3C#3,7,96k,50
cello,C3C#3,8,96k,83
cello,C3C#3,1,wav_ak_EQ,100
cello,C3C#3,11,wav_ak_EQ,100
cello,C3C#3,12,wav_ak_EQ,52
cello,C3C#3,13,wav_ak_EQ,51
cello,C3C#3,14,wav_ak_EQ,20
cello,C3C#3,15,wav_ak_EQ,89
cello,C3C#3,16,wav_ak_EQ,68
cello,C3C#3,17,wav_ak_EQ,50
cello,C3C#3,2,wav_ak_EQ,83
cello,C3C#3,4,wav_ak_EQ,72
cello,C3C#3,5,wav_ak_EQ,50
cello,C3C#3,6,wav_ak_EQ,50
cello,C3C#3,7,wav_ak_EQ,39
cello,C3C#3,8,wav_ak_EQ,60
cello,C3C#3,1,96k_ak_EQ,26
cello,C3C#3,11,96k_ak_EQ,29
cello,C3C#3,12,96k_ak_EQ,41
cello,C3C#3,13,96k_ak_EQ,49
cello,C3C#3,14,96k_ak_EQ,19
cello,C3C#3,15,96k_ak_EQ,29
cello,C3C#3,16,96k_ak_EQ,61
cello,C3C#3,17,96k_ak_EQ,87
cello,C3C#3,2,96k_ak_EQ,88
cello,C3C#3,4,96k_ak_EQ,88
cello,C3C#3,5,96k_ak_EQ,42
cello,C3C#3,6,96k_ak_EQ,50
cello,C3C#3,7,96k_ak_EQ,62
cello,C3C#3,8,96k_ak_EQ,60
cello,C3C#3,1,wav_muk_EQ,81
cello,C3C#3,11,wav_muk_EQ,92
cello,C3C#3,12,wav_muk_EQ,96
cello,C3C#3,13,wav_muk_EQ,29
cello,C3C#3,14,wav_muk_EQ,61
cello,C3C#3,15,wav_muk_EQ,69
cello,C3C#3,16,wav_muk_EQ,50
cello,C3C#3,17,wav_muk_EQ,32
cello,C3C#3,2,wav_muk_EQ,72
cello,C3C#3,4,wav_muk_EQ,71
cello,C3C#3,5,wav_muk_EQ,100
cello,C3C#3,6,wav_muk_EQ,40
cello,C3C#3,7,wav_muk_EQ,87
cello,C3C#3,8,wav_muk_EQ,33
cello,C3C#3,1,96k_muk_EQ,75
cello,C3C#3,11,96k_muk_EQ,37
cello,C3C#3,12,96k_muk_EQ,73
cello,C3C#3,13,96k_muk_EQ,31
cello,C3C#3,14,96k_muk_EQ,78
cello,C3C#3,15,96k_muk_EQ,50
cello,C3C#3,16,96k_muk_EQ,89
cello,C3C#3,17,96k_muk_EQ,50
cello,C3C#3,2,96k_muk_EQ,46
cello,C3C#3,4,96k_muk_EQ,68
cello,C3C#3,5,96k_muk_EQ,70
cello,C3C#3,6,96k_muk_EQ,55
cello,C3C#3,7,96k_muk_EQ,64
cello,C3C#3,8,96k_muk_EQ,32
cello,C3C#3,1,wav,55
cello,C3C#3,11,wav,70
cello,C3C#3,12,wav,37
cello,C3C#3,13,wav,70
cello,C3C#3,14,wav,57
cello,C3C#3,15,wav,39
cello,C3C#3,16,wav,79
cello,C3C#3,17,wav,73
cello,C3C#3,2,wav,48
cello,C3C#3,4,wav,91
cello,C3C#3,5,wav,40
cello,C3C#3,6,wav,31
cello,C3C#3,7,wav,76
cello,C3C#3,8,wav,100
cello,C3G3,5,32k,48
piano,C3C#3,17,32k,40
pipeorgan,C4C#4,5,32k,48
pipeorgan,C4F#4,5,32k,48
cello,C4A#4,4,32k,46
piano,C3C#3,8,32k,46
pipeorgan,C4A#4,2,32k,45
piano,C4F#4,11,32k,44
pipeorgan,C3C#3,4,32k,44
pipeorgan,C4G4,4,32k,44
piano,C3C#3,2,32k,43
piano,C4F#4,12,32k,43
piano,C4F#4,8,32k,43
piano,C4C#4,8,32k,41
cello,C3F#3,1,96k,52
cello,C3F#3,11,96k,84
cello,C3F#3,12,96k,87
cello,C3F#3,13,96k,90
cello,C3F#3,14,96k,57
cello,C3F#3,15,96k,50
cello,C3F#3,16,96k,58
cello,C3F#3,17,96k,87
cello,C3F#3,2,96k,65
cello,C3F#3,4,96k,86
cello,C3F#3,5,96k,67
cello,C3F#3,6,96k,100
cello,C3F#3,7,96k,90
cello,C3F#3,8,96k,100
cello,C3F#3,1,wav_ak_EQ,60
cello,C3F#3,11,wav_ak_EQ,100
cello,C3F#3,12,wav_ak_EQ,53
cello,C3F#3,13,wav_ak_EQ,51
cello,C3F#3,14,wav_ak_EQ,4
cello,C3F#3,15,wav_ak_EQ,84
cello,C3F#3,16,wav_ak_EQ,87
cello,C3F#3,17,wav_ak_EQ,61
cello,C3F#3,2,wav_ak_EQ,38
cello,C3F#3,4,wav_ak_EQ,60
cello,C3F#3,5,wav_ak_EQ,68
cello,C3F#3,6,wav_ak_EQ,52
cello,C3F#3,7,wav_ak_EQ,54
cello,C3F#3,8,wav_ak_EQ,70
cello,C3F#3,1,96k_ak_EQ,79
cello,C3F#3,11,96k_ak_EQ,43
cello,C3F#3,12,96k_ak_EQ,45
cello,C3F#3,13,96k_ak_EQ,39
cello,C3F#3,14,96k_ak_EQ,40
cello,C3F#3,15,96k_ak_EQ,50
cello,C3F#3,16,96k_ak_EQ,71
cello,C3F#3,17,96k_ak_EQ,59
cello,C3F#3,2,96k_ak_EQ,45
cello,C3F#3,4,96k_ak_EQ,66
cello,C3F#3,5,96k_ak_EQ,70
cello,C3F#3,6,96k_ak_EQ,50
cello,C3F#3,7,96k_ak_EQ,39
cello,C3F#3,8,96k_ak_EQ,71
cello,C3F#3,1,wav_muk_EQ,89
cello,C3F#3,11,wav_muk_EQ,62
cello,C3F#3,12,wav_muk_EQ,56
cello,C3F#3,13,wav_muk_EQ,51
cello,C3F#3,14,wav_muk_EQ,76
cello,C3F#3,15,wav_muk_EQ,52
cello,C3F#3,16,wav_muk_EQ,77
cello,C3F#3,17,wav_muk_EQ,61
cello,C3F#3,2,wav_muk_EQ,89
cello,C3F#3,4,wav_muk_EQ,72
cello,C3F#3,5,wav_muk_EQ,73
cello,C3F#3,6,wav_muk_EQ,64
cello,C3F#3,7,wav_muk_EQ,52
cello,C3F#3,8,wav_muk_EQ,18
cello,C3F#3,1,96k_muk_EQ,100
cello,C3F#3,11,96k_muk_EQ,52
cello,C3F#3,12,96k_muk_EQ,70
cello,C3F#3,13,96k_muk_EQ,28
cello,C3F#3,14,96k_muk_EQ,79
cello,C3F#3,15,96k_muk_EQ,67
cello,C3F#3,16,96k_muk_EQ,40
cello,C3F#3,17,96k_muk_EQ,50
cello,C3F#3,2,96k_muk_EQ,72
cello,C3F#3,4,96k_muk_EQ,89
cello,C3F#3,5,96k_muk_EQ,100
cello,C3F#3,6,96k_muk_EQ,29
cello,C3F#3,7,96k_muk_EQ,82
cello,C3F#3,8,96k_muk_EQ,19
cello,C3F#3,1,wav,84
cello,C3F#3,11,wav,59
cello,C3F#3,12,wav,82
cello,C3F#3,13,wav,39
cello,C3F#3,14,wav,56
cello,C3F#3,15,wav,88
cello,C3F#3,16,wav,96
cello,C3F#3,17,wav,86
cello,C3F#3,2,wav,83
cello,C3F#3,4,wav,100
cello,C3F#3,5,wav,70
cello,C3F#3,6,wav,100
cello,C3F#3,7,wav,69
cello,C3F#3,8,wav,100
pipeorgan,C4A#4,12,32k,41
pipeorgan,C4A#4,16,32k,41
pipeorgan,C4A#4,5,32k,41
pipeorgan,C4C#4,13,32k,41
piano,C3A#3,15,32k,40
piano,C3G3,7,32k,40
piano,C4F#4,16,32k,40
pipeorgan,C3G3,8,32k,40
pipeorgan,C4A#4,1,32k,40
piano,C3A#3,17,32k,39
pipeorgan,C3F#3,17,32k,39
piano,C4A#4,2,32k,38
piano,C4C#4,11,32k,38
pipeorgan,C3C#3,12,32k,38
cello,C3G3,1,96k,79
cello,C3G3,11,96k,100
cello,C3G3,12,96k,62
cello,C3G3,13,96k,72
cello,C3G3,14,96k,57
cello,C3G3,15,96k,58
cello,C3G3,16,96k,62
cello,C3G3,17,96k,88
cello,C3G3,2,96k,52
cello,C3G3,4,96k,93
cello,C3G3,5,96k,100
cello,C3G3,6,96k,89
cello,C3G3,7,96k,54
cello,C3G3,8,96k,100
cello,C3G3,1,wav_ak_EQ,20
cello,C3G3,11,wav_ak_EQ,94
cello,C3G3,12,wav_ak_EQ,39
cello,C3G3,13,wav_ak_EQ,30
cello,C3G3,14,wav_ak_EQ,58
cello,C3G3,15,wav_ak_EQ,86
cello,C3G3,16,wav_ak_EQ,69
cello,C3G3,17,wav_ak_EQ,46
cello,C3G3,2,wav_ak_EQ,66
cello,C3G3,4,wav_ak_EQ,61
cello,C3G3,5,wav_ak_EQ,49
cello,C3G3,6,wav_ak_EQ,51
cello,C3G3,7,wav_ak_EQ,53
cello,C3G3,8,wav_ak_EQ,79
cello,C3G3,1,96k_ak_EQ,100
cello,C3G3,11,96k_ak_EQ,88
cello,C3G3,12,96k_ak_EQ,43
cello,C3G3,13,96k_ak_EQ,29
cello,C3G3,14,96k_ak_EQ,17
cello,C3G3,15,96k_ak_EQ,86
cello,C3G3,16,96k_ak_EQ,34
cello,C3G3,17,96k_ak_EQ,22
cello,C3G3,2,96k_ak_EQ,48
cello,C3G3,4,96k_ak_EQ,69
cello,C3G3,5,96k_ak_EQ,50
cello,C3G3,6,96k_ak_EQ,41
cello,C3G3,7,96k_ak_EQ,44
cello,C3G3,8,96k_ak_EQ,79
cello,C3G3,1,wav_muk_EQ,60
cello,C3G3,11,wav_muk_EQ,41
cello,C3G3,12,wav_muk_EQ,55
cello,C3G3,13,wav_muk_EQ,58
cello,C3G3,14,wav_muk_EQ,81
cello,C3G3,15,wav_muk_EQ,100
cello,C3G3,16,wav_muk_EQ,60
cello,C3G3,17,wav_muk_EQ,62
cello,C3G3,2,wav_muk_EQ,100
cello,C3G3,4,wav_muk_EQ,74
cello,C3G3,5,wav_muk_EQ,68
cello,C3G3,6,wav_muk_EQ,71
cello,C3G3,7,wav_muk_EQ,71
cello,C3G3,8,wav_muk_EQ,42
cello,C3G3,1,96k_muk_EQ,60
cello,C3G3,11,96k_muk_EQ,62
cello,C3G3,12,96k_muk_EQ,68
cello,C3G3,13,96k_muk_EQ,56
cello,C3G3,14,96k_muk_EQ,78
cello,C3G3,15,96k_muk_EQ,80
cello,C3G3,16,96k_muk_EQ,85
cello,C3G3,17,96k_muk_EQ,47
cello,C3G3,2,96k_muk_EQ,73
cello,C3G3,4,96k_muk_EQ,86
cello,C3G3,5,96k_muk_EQ,72
cello,C3G3,6,96k_muk_EQ,29
cello,C3G3,7,96k_muk_EQ,73
cello,C3G3,8,96k_muk_EQ,41
cello,C3G3,1,wav,78
cello,C3G3,11,wav,81
cello,C3G3,12,wav,67
cello,C3G3,13,wav,81
cello,C3G3,14,wav,36
cello,C3G3,15,wav,70
cello,C3G3,16,wav,30
cello,C3G3,17,wav,75
cello,C3G3,2,wav,81
cello,C3G3,4,wav,87
cello,C3G3,5,wav,50
cello,C3G3,6,wav,100
cello,C3G3,7,wav,62
cello,C3G3,8,wav,100
cello,C4A#4,16,32k,37
piano,C3F#3,12,32k,37
piano,C4G4,8,32k,37
cello,C3C#3,4,32k,36
piano,C4C#4,1,32k,36
piano,C4C#4,7,32k,36
piano,C4F#4,4,32k,36
pipeorgan,C4F#4,17,32k,36
pipeorgan,C4G4,16,32k,36
cello,C3A#3,16,32k,35
cello,C4C#4,4,32k,35
piano,C4A#4,16,32k,35
piano,C4A#4,7,32k,35
piano,C4C#4,4,32k,35
cello,C4A#4,1,96k,40
cello,C4A#4,11,96k,100
cello,C4A#4,12,96k,51
cello,C4A#4,13,96k,63
cello,C4A#4,14,96k,74
cello,C4A#4,15,96k,86
cello,C4A#4,16,96k,18
cello,C4A#4,17,96k,44
cello,C4A#4,2,96k,41
cello,C4A#4,4,96k,81
cello,C4A#4,5,96k,58
cello,C4A#4,6,96k,100
cello,C4A#4,7,96k,81
cello,C4A#4,8,96k,100
cello,C4A#4,1,wav_ak_EQ,22
cello,C4A#4,11,wav_ak_EQ,41
cello,C4A#4,12,wav_ak_EQ,28
cello,C4A#4,13,wav_ak_EQ,20
cello,C4A#4,14,wav_ak_EQ,97
cello,C4A#4,15,wav_ak_EQ,80
cello,C4A#4,16,wav_ak_EQ,33
cello,C4A#4,17,wav_ak_EQ,29
cello,C4A#4,2,wav_ak_EQ,71
cello,C4A#4,4,wav_ak_EQ,84
cello,C4A#4,5,wav_ak_EQ,76
cello,C4A#4,6,wav_ak_EQ,80
cello,C4A#4,7,wav_ak_EQ,72
cello,C4A#4,8,wav_ak_EQ,77
cello,C4A#4,1,96k_ak_EQ,19
cello,C4A#4,11,96k_ak_EQ,72
cello,C4A#4,12,96k_ak_EQ,34
cello,C4A#4,13,96k_ak_EQ,20
cello,C4A#4,14,96k_ak_EQ,39
cello,C4A#4,15,96k_ak_EQ,65
cello,C4A#4,16,96k_ak_EQ,32
cello,C4A#4,17,96k_ak_EQ,36
cello,C4A#4,2,96k_ak_EQ,66
cello,C4A#4,4,96k_ak_EQ,73
cello,C4A#4,5,96k_ak_EQ,100
cello,C4A#4,6,96k_ak_EQ,38
cello,C4A#4,7,96k_ak_EQ,52
cello,C4A#4,8,96k_ak_EQ,78
cello,C4A#4,1,wav_muk_EQ,100
cello,C4A#4,11,wav_muk_EQ,79
cello,C4A#4,12,wav_muk_EQ,46
cello,C4A#4,13,wav_muk_EQ,50
cello,C4A#4,14,wav_muk_EQ,79
cello,C4A#4,15,wav_muk_EQ,43
cello,C4A#4,16,wav_muk_EQ,92
cello,C4A#4,17,wav_muk_EQ,56
cello,C4A#4,2,wav_muk_EQ,85
cello,C4A#4,4,wav_muk_EQ,90
cello,C4A#4,5,wav_muk_EQ,68
cello,C4A#4,6,wav_muk_EQ,60
cello,C4A#4,7,wav_muk_EQ,51
cello,C4A#4,8,wav_muk_EQ,36
cello,C4A#4,1,96k_muk_EQ,81
cello,C4A#4,11,96k_muk_EQ,71
cello,C4A#4,12,96k_muk_EQ,56
cello,C4A#4,13,96k_muk_EQ,50
cello,C4A#4,14,96k_muk_EQ,62
cello,C4A#4,15,96k_muk_EQ,74
cello,C4A#4,16,96k_muk_EQ,100
cello,C4A#4,17,96k_muk_EQ,60
cello,C4A#4,2,96k_muk_EQ,46
cello,C4A#4,4,96k_muk_EQ,84
cello,C4A#4,5,96k_muk_EQ,79
cello,C4A#4,6,96k_muk_EQ,100
cello,C4A#4,7,96k_muk_EQ,44
cello,C4A#4,8,96k_muk_EQ,25
cello,C4A#4,1,wav,79
cello,C4A#4,11,wav,90
cello,C4A#4,12,wav,100
cello,C4A#4,13,wav,70
cello,C4A#4,14,wav,62
cello,C4A#4,15,wav,98
cello,C4A#4,16,wav,84
cello,C4A#4,17,wav,90
cello,C4A#4,2,wav,90
cello,C4A#4,4,wav,59
cello,C4A#4,5,wav,86
cello,C4A#4,6,wav,62
cello,C4A#4,7,wav,61
cello,C4A#4,8,wav,100
piano,C4F#4,1,32k,35
pipeorgan,C3C#3,16,32k,35
pipeorgan,C3F#3,11,32k,35
pipeorgan,C3G3,17,32k,35
pipeorgan,C4F#4,16,32k,35
cello,C3C#3,2,32k,34
cello,C3F#3,16,32k,34
cello,C4C#4,5,32k,34
piano,C3G3,2,32k,34
piano,C4F#4,2,32k,34
pipeorgan,C3F#3,8,32k,34
pipeorgan,C4C#4,2,32k,34
cello,C3A#3,4,32k,33
cello,C4F#4,4,32k,33
cello,C4C#4,1,96k,80
cello,C4C#4,11,96k,91
cello,C4C#4,12,96k,91
cello,C4C#4,13,96k,41
cello,C4C#4,14,96k,77
cello,C4C#4,15,96k,72
cello,C4C#4,16,96k,46
cello,C4C#4,17,96k,60
cello,C4C#4,2,96k,49
cello,C4C#4,4,96k,92
cello,C4C#4,5,96k,87
cello,C4C#4,6,96k,54
cello,C4C#4,7,96k,74
cello,C4C#4,8,96k,100
cello,C4C#4,1,wav_ak_EQ,60
cello,C4C#4,11,wav_ak_EQ,81
cello,C4C#4,12,wav_ak_EQ,43
cello,C4C#4,13,wav_ak_EQ,47
cello,C4C#4,14,wav_ak_EQ,20
cello,C4C#4,15,wav_ak_EQ,42
cello,C4C#4,16,wav_ak_EQ,83
cello,C4C#4,17,wav_ak_EQ,33
cello,C4C#4,2,wav_ak_EQ,57
cello,C4C#4,4,wav_ak_EQ,68
cello,C4C#4,5,wav_ak_EQ,80
cello,C4C#4,6,wav_ak_EQ,45
cello,C4C#4,7,wav_ak_EQ,61
cello,C4C#4,8,wav_ak_EQ,81
cello,C4C#4,1,96k_ak_EQ,60
cello,C4C#4,11,96k_ak_EQ,96
cello,C4C#4,12,96k_ak_EQ,39
cello,C4C#4,13,96k_ak_EQ,34
cello,C4C#4,14,96k_ak_EQ,38
cello,C4C#4,15,96k_ak_EQ,34
cello,C4C#4,16,96k_ak_EQ,88
cello,C4C#4,17,96k_ak_EQ,43
cello,C4C#4,2,96k_ak_EQ,63
cello,C4C#4,4,96k_ak_EQ,78
cello,C4C#4,5,96k_ak_EQ,81
cello,C4C#4,6,96k_ak_EQ,51
cello,C4C#4,7,96k_ak_EQ,50
cello,C4C#4,8,96k_ak_EQ,80
cello,C4C#4,1,wav_muk_EQ,40
cello,C4C#4,11,wav_muk_EQ,81
cello,C4C#4,12,wav_muk_EQ,64
cello,C4C#4,13,wav_muk_EQ,60
cello,C4C#4,14,wav_muk_EQ,75
cello,C4C#4,15,wav_muk_EQ,72
cello,C4C#4,16,wav_muk_EQ,54
cello,C4C#4,17,wav_muk_EQ,60
cello,C4C#4,2,wav_muk_EQ,90
cello,C4C#4,4,wav_muk_EQ,66
cello,C4C#4,5,wav_muk_EQ,100
cello,C4C#4,6,wav_muk_EQ,31
cello,C4C#4,7,wav_muk_EQ,67
cello,C4C#4,8,wav_muk_EQ,21
cello,C4C#4,1,96k_muk_EQ,23
cello,C4C#4,11,96k_muk_EQ,73
cello,C4C#4,12,96k_muk_EQ,49
cello,C4C#4,13,96k_muk_EQ,33
cello,C4C#4,14,96k_muk_EQ,59
cello,C4C#4,15,96k_muk_EQ,58
cello,C4C#4,16,96k_muk_EQ,60
cello,C4C#4,17,96k_muk_EQ,60
cello,C4C#4,2,96k_muk_EQ,64
cello,C4C#4,4,96k_muk_EQ,69
cello,C4C#4,5,96k_muk_EQ,70
cello,C4C#4,6,96k_muk_EQ,42
cello,C4C#4,7,96k_muk_EQ,32
cello,C4C#4,8,96k_muk_EQ,22
cello,C4C#4,1,wav,60
cello,C4C#4,11,wav,100
cello,C4C#4,12,wav,38
cello,C4C#4,13,wav,29
cello,C4C#4,14,wav,60
cello,C4C#4,15,wav,73
cello,C4C#4,16,wav,71
cello,C4C#4,17,wav,80
cello,C4C#4,2,wav,63
cello,C4C#4,4,wav,85
cello,C4C#4,5,wav,85
cello,C4C#4,6,wav,100
cello,C4C#4,7,wav,72
cello,C4C#4,8,wav,99
piano,C3A#3,16,32k,33
pipeorgan,C3A#3,17,32k,33
pipeorgan,C3G3,16,32k,33
cello,C3F#3,4,32k,32
piano,C3A#3,4,32k,32
piano,C3A#3,7,32k,32
piano,C3F#3,5,32k,32
piano,C3G3,17,32k,32
piano,C3G3,5,32k,32
piano,C4A#4,1,32k,32
piano,C4A#4,17,32k,32
piano,C4C#4,12,32k,32
piano,C4C#4,2,32k,32
piano,C4G4,7,32k,32
cello,C4F#4,1,96k,22
cello,C4F#4,11,96k,100
cello,C4F#4,12,96k,87
cello,C4F#4,13,96k,74
cello,C4F#4,14,96k,56
cello,C4F#4,15,96k,76
cello,C4F#4,16,96k,72
cello,C4F#4,17,96k,83
cello,C4F#4,2,96k,50
cello,C4F#4,4,96k,88
cello,C4F#4,5,96k,76
